country,clf,feat_set,inc,auc_score,N,N_p,N_n
AR,RF,appended,1,0.9125640172331501,7878,649,7229
AR,RF,appended,2,0.9526060379611021,7878,649,7229
AR,RF,appended,3,0.9675113409579141,7878,649,7229
AR,RF,appended,4,0.9792219784387978,7878,649,7229
AR,RF,appended,5,0.9818632533861975,7878,649,7229
AR,RF,appended,6,0.9873734258304282,7878,649,7229
AR,RF,appended,7,0.9873989246807949,7878,649,7229
AR,RF,appended,8,0.9891052080726894,7878,649,7229
AR,XGB,inc-only,1,0.9088839561488978,7878,649,7229
AR,XGB,inc-only,2,0.9159402034669364,7878,649,7229
AR,XGB,inc-only,3,0.9520814024499866,7878,649,7229
AR,XGB,inc-only,4,0.9729676043179876,7878,649,7229
AR,XGB,inc-only,5,0.9637207050965226,7878,649,7229
AR,XGB,inc-only,6,0.9686436100314497,7878,649,7229
AR,XGB,inc-only,7,0.9685237037413216,7878,649,7229
AR,XGB,inc-only,8,0.984198961922483,7878,649,7229
AR,XGB,appended,1,0.9107544927828711,7878,649,7229
AR,XGB,appended,2,0.9525179202828938,7878,649,7229
AR,XGB,appended,3,0.9714077529852295,7878,649,7229
AR,XGB,appended,4,0.9816439964015298,7878,649,7229
AR,XGB,appended,5,0.9842492612264404,7878,649,7229
AR,XGB,appended,6,0.9882465599054416,7878,649,7229
AR,XGB,appended,7,0.9897947857363266,7878,649,7229
AR,XGB,appended,8,0.9909278402874975,7878,649,7229
AT,CART,inc-only,1,0.699245074938403,4946,456,4490
AT,CART,inc-only,2,0.7178112929429865,4946,456,4490
AT,CART,inc-only,3,0.7601950657930129,4946,456,4490
AT,CART,inc-only,4,0.8117617249281818,4946,456,4490
AT,CART,inc-only,5,0.7483846013147843,4946,456,4490
AT,CART,inc-only,6,0.8060039486567036,4946,456,4490
AT,CART,inc-only,7,0.7994603143862368,4946,456,4490
AT,CART,inc-only,8,0.8470930032385441,4946,456,4490
AT,CART,appended,1,0.7106032729737581,4946,456,4490
AT,CART,appended,2,0.7587858149618584,4946,456,4490
AT,CART,appended,3,0.7722320669657747,4946,456,4490
AT,CART,appended,4,0.8265127013330751,4946,456,4490
AT,CART,appended,5,0.8258931280462218,4946,456,4490
AT,CART,appended,6,0.8596617281559665,4946,456,4490
AT,CART,appended,7,0.8748785814961858,4946,456,4490
AT,CART,appended,8,0.8670484598086999,4946,456,4490
AT,RF,inc-only,1,0.9093525601712877,4946,456,4490
AT,RF,inc-only,2,0.9142142495938371,4946,456,4490
AT,RF,inc-only,3,0.9322756958566003,4946,456,4490
AT,RF,inc-only,4,0.9722399212420516,4946,456,4490
AT,RF,inc-only,5,0.9610772193710123,4946,456,4490
AT,RF,inc-only,6,0.9646622661200951,4946,456,4490
AT,RF,inc-only,7,0.9477149435675629,4946,456,4490
AT,RF,inc-only,8,0.9755476474828658,4946,456,4490
AT,RF,appended,1,0.9104706110196572,4946,456,4490
AT,RF,appended,2,0.9467561838976577,4946,456,4490
AT,RF,appended,3,0.9617126625996578,4946,456,4490
